open,high,low,close
9383,9483,9120.5,9320.5
9323.5,9617.5,9217.5,9280.5
9280.5,9350,9074.5,9164.5
9164.5,9765,9150,9615
9613.5,9861.5,9515.5,9759.5
9759.5,9875,9712.5,9810.5
9810.5,9948,9660,9911.5
9911.5,10183,9892,10165
10165,10199,9660,9851
9851,10375,9712.5,10270.5
10270.5,10489,10245.5,10350
10350,10557.5,10076,10235
10236,10393.5,10093,10367.5
10367.5,10401.5,9788,9909
9909,10052,9635.5,9929.5
9926.5,9974,9464.5,9704.5
9706.5,10286,9604.5,10187.5
10190.5,10305.5,9313,9599.5
9595,9700.5,9359.5,9606
9606,9772.5,9535,9694
9694,9720.5,9571.5,9665.5
9665.5,10029.5,9665,9971
9970,10028,9482,9659.5
9659.5,9681,9242.5,9305.5
9305,9369,8609,8779.5
8782,8973,8520,8817
8818,8901.5,8426,8705
8702.5,8800.5,8522.5,8528
8526,8758.5,8411,8522.5
8522.5,8971,8490,8919.5
8921.5,8925.5,8622,8757
8757,8852,8670,8758.5
8759,9173.5,8758.5,9071
9070,9180,8991.5,9157
9157,9219.5,8836.5,8897
8897,8897,8003.5,8039
8039,8195,7634,7931.5
7931.5,8154,7736,7893
7893,7988,7589.5,7941.5
7941.5,7969.5,4519,4863
4857,5999.5,3900,5639
5648.5,5671.5,5053,5164
5164,5971,5092.5,5349.5
5348.5,5352,4426.5,5035
5039,5566.5,4934.5,5333.5
5330.5,5457,5016.5,5416
5414,6428,5268,6182
6182,6948.5,5657,6211
6211.5,6466,5870,6195.5
6195.5,6422.5,5740,5814
5814,6680,5682.5,6498
6489.5,6867.5,6402,6767.5
6767,6989.5,6473.5,6688
6690,6799,6520,6757.5
6760.5,6875.5,6271.5,6371
6369.5,6369.5,6011,6253
6250.5,6278.5,5869,5877.5
5877.5,6626,5858,6406.5
6407.5,6529,6337,6425
6424.5,6700,6160,6665
6666,7273,6569,6799.5
6799.5,7051.5,6612,6739.5
6738.5,7014.5,6655,6874.5
6874.5,6912.5,6675,6781.5
6781.5,7371,6771,7342
7341.5,7470,7078,7199.5
7200,7428,7152.5,7369
7369,7377,7110.5,7292
7292,7302,6748.5,6871
6871,6953.5,6769.5,6889.5
6890,7205,6789.5,6910.5
6910.5,6911,6580.5,6858
6858,6992.5,6771.5,6873.5
6873.5,6941,6609,6622.5
6622.5,7223,6474.5,7113
7113.5,7154.5,6999.5,7035
7034.5,7308.5,7022,7260.5
7260.5,7276.5,7066,7130
7130,7240.5,6760,6837.5
6837.5,6962,6774,6852.5
6852.5,7167,6825,7135.5
7135.5,7790.5,7034,7488
7487,7614.5,7397.5,7509.5
7509.5,7717.5,7438.5,7550
7550,7714.5,7483.5,7705
7705,7810,7635,7794
7794,7798.5,7665.5,7755
7755,8978,7728.5,8788.5
8788.5,9468,8402,8622.5
8622.5,9070,8620,8833.5
8833.5,9023.5,8763.5,8981
8981,9203.5,8730,8905.5
8905.5,8971,8536,8889
8889,9123,8762.5,9030
9030,9420,8922.5,9155.5
9155.5,10076.5,9037,10004.5
10003.5,10050.5,9729.5,9810
9813.5,9918.5,9517,9535.5
9535.5,9564.5,8111,8729
8729,9173,8199,8578.5
8578.5,8980.5,8540,8823
8823,9416,8807,9326
9326,9945,9267,9795.5
9795.5,9854,9107,9304.5
9304.5,9584.5,9213.5,9385
9385,9894,9327.5,9673
9673,9955,9407,9731
9731,9898,9457.5,9782.5
9783,9834.5,9293,9511.5
9511.5,9566.5,8801,9060
9060,9271,8930.5,9165
9165,9314,9094,9174
9174,9305,8682.5,8717
8717,8979,8633,8900.5
8900.5,9015.5,8695,8843
8843,9229.5,8811.5,9205
9205,9623,9115,9580
9580,9607,9334,9424
9424,9748,9335.5,9702.5
9702.5,9709.5,9389,9447.5
9447.5,10425.5,9415,10205
10205,10230.5,9280.5,9522.5
9522.5,9691.5,9395,9666.5
9666.5,9890,9451,9791.5
9791.5,9859.5,9588,9617
9617,9733.5,9530,9665.5
9665.5,9820,9376,9753.5
9753.5,9819.5,9634,9784.5
9784.5,9890,9565,9777.5
9779.5,10011,9660,9896
9896,9979,9060,9270
9270.5,9553,9232,9463.5
9463.5,9499.5,9350.5,9476
9476,9485.5,9240,9334.5
9334.5,9500.5,8896.5,9429.5
9429.5,9591.5,9381,9527.5
9527.5,9561.5,9232.5,9456
9456,9478.5,9271,9377
9377,9430,9231.5,9299.5
9299.5,9394,9165,9358.5
9358.5,9421.5,9271,9283
9283,9791,9264,9688.5
9688.5,9721,9574,9621.5
9621.5,9666.5,9038.5,9281.5
9281.5,9335.5,8989.5,9239.5
9239.5,9291,9030.5,9154
9154,9186.5,8820.5,9004
9004,9189.5,8931,9114
9114,9234.5,9015,9190
9183.5,9200.5,9056,9136
9136,9297,9088.5,9238.5
9238.5,9267,8941,9089
9089,9124.5,9041.5,9058.5
9058.5,9194.5,9044.5,9140
9140,9146.5,8906.5,9076
9076,9379,9064,9342
9342,9380.5,9206.5,9255.5
9255.5,9478.5,9234.5,9438.5
9438.5,9443.5,9159.5,9235.5
9235.5,9316.5,9112.5,9291
9291,9301,9180.5,9233
9233,9344.5,9156,9305
9305,9341,9196.5,9237.5
9237.5,9278.5,9108,9257.5
9257.5,9273.5,9153.5,9190
9190,9217.5,9032.5,9130.5
9130.5,9182,9080,9153
9153,9209.5,9124.5,9172.5
