Open,High,Low,Close,Volume
2434.408,2476.858,2414.573,2450.61,31296068
2451.778,2455.504,2318.926,2319.868,53656796
2297.245,2355.929,2284.585,2344.469,38593821
2332.484,2523.469,2306.662,2523.282,73736663
2484.485,2518.443,2431.046,2431.716,61331990
2414.459,2426.707,2362.093,2405.226,46284593
2408.095,2443.99,2382.291,2413.374,33757217
2384.946,2403.016,2327.22,2350.084,40979466
2343.882,2385.991,2310.455,2342.147,40952604
2341.956,2374.246,2333.03,2350.143,34752734
2361.046,2420.848,2352.099,2397.369,46405768
2380.468,2380.468,2311.727,2325.135,36265240
2312.102,2329.009,2284.92,2304.891,34190291
2301.941,2321.535,2248.067,2276.672,42250006
2270.524,2295.355,2249.12,2277.411,34163089
2224.527,2238.324,2199.365,2202.446,38608171
2210.344,2220.546,2135.375,2143.421,37669497
2152.277,2161.35,2114.503,2145.779,30722691
2131.8,2185.694,2102.906,2150.759,39012042
2143.4,2148.124,2070.427,2078.981,36441803
2077.55,2104.626,2064.29,2079.673,30312475
2049.813,2049.813,1974.388,1986.636,46223445
1971.944,1999.953,1922.68,1929.047,45853472
1876.122,1942.846,1802.331,1895.837,66333202
2067.643,2075.091,2043.316,2075.091,58433536
2241.723,2269.733,2164.798,2236.41,139930636
2209.122,2253.395,2181.96,2201.51,100165152
2133.098,2218.291,2116.96,2216.811,64547818
2214.584,2333.277,2211.45,2297.501,101230404
2304.119,2310.445,2246.279,2293.784,78259307
2267.394,2267.394,2172.569,2173.738,60938137
2101.093,2182.998,2072.896,2157.839,56902611
2095.911,2127.085,2059.086,2092.224,50759473
2125.567,2130.87,2063.408,2074.583,45071001
1995.957,2027.831,1963.183,2000.572,54077527
1978.56,2074.468,1931.472,2073.568,56633806
2139.065,2146.73,2016.184,2017.321,68042483
1995.885,2013.491,1963.103,1994.667,40817957
1916.133,1943.32,1901.503,1909.941,50672447
1921.842,1941.299,1902.598,1930.651,38647298
1924.177,1979.839,1890.92,1974.006,44569785
1978.674,1996.658,1956.11,1958.529,54096739
1932.677,1950.791,1894.31,1895.822,48310367
1851.259,1879.849,1828.308,1875.561,47830065
