Open,High,Low,Close
3155.82,3161.06,3149.74,3153.67
3125.67,3153.56,3124.45,3130.38
3140.65,3156.2,3135.86,3149.71
3152.17,3161.83,3144.89,3154.3
3149.62,3156.94,3133.11,3153.66
3157.43,3164.06,3135.83,3142.31
3140.67,3154.18,3136.82,3142.13
3162.94,3183.14,3154.91,3179.1
3161.72,3169.63,3130.57,3131.17
3140.9,3178.53,3136.82,3171.58
3159.38,3174.82,3157.35,3168.48
3167.44,3170.42,3135.98,3165.13
3178.06,3196.89,3177.18,3193.87
3192.53,3194.01,3182.19,3192.01
3190.73,3196.91,3184.84,3186.49
3195.34,3205.52,3187.06,3196.88
3182.74,3202.33,3182.39,3198.66
3202.84,3206.22,3184.03,3192.03
3197.46,3213.59,3194.92,3213.59
3211.99,3213.25,3163.95,3164.41
3154.88,3155.19,3118.62,3131.49
3149.09,3161.82,3139.55,3161.82
3180.59,3186.25,3116.25,3116.25
3126.23,3135.57,3105.36,3129.65
3129.72,3177.8,3127.28,3162.26
3161.43,3182.6,3159.72,3160.19
3143.55,3171.5,3129.4,3169.74
3159.46,3182.27,3154.79,3182.03
3200.38,3227.31,3200.27,3224.13
3233.31,3233.44,3217.68,3222.36
3224.5,3235.1,3221.47,3232.09
3245.85,3248.7,3227.89,3244.37
3237.74,3252.87,3233.66,3252.87
3244.85,3249.78,3229.92,3242.32
3243.04,3251.45,3230.62,3245.12
3253,3258.93,3250.24,3258.93
3260.46,3260.62,3242.66,3249.07
3215.7,3249.37,3211.1,3237.59
3246.7,3252.6,3205.42,3229.09
3251.91,3257.99,3240.9,3254.19
3228.17,3237.57,3215.69,3222.6
3235.3,3247.94,3230.86,3245
3255.85,3263.63,3222.48,3235.3
3249.95,3252.93,3239.91,3252.48
3230.76,3258.26,3227.02,3256.52
3257.32,3270.3,3253.2,3267.52
3268.63,3270.23,3230.57,3239.17
3252.55,3267.93,3245.41,3254.86
3257.38,3260.16,3210.39,3218.6
3219.11,3226.24,3206.02,3224.98
3174,3206.21,3168.88,3203.86
3207.15,3222.26,3195.57,3222.25
3229.81,3249.95,3215.02,3237.86
3246.06,3299.16,3245.8,3297.25
3289.59,3306.95,3287.74,3300.16
3292.39,3296.5,3271.02,3294.95
3277.58,3283.4,3213.46,3216.49
3239.05,3265.84,3231.45,3264.63
3236.25,3236.98,3186.07,3204.67
3212.24,3212.97,3154.96,3166.36
3169.32,3210.03,3168.33,3206.06
3217.4,3241.16,3198.74,3233.55
3252.8,3275.89,3241.52,3269.33
3262.21,3277.12,3255.44,3269.65
3279.82,3301.28,3279.28,3289.99
3284.07,3287.48,3268.03,3279.26
3290.31,3315.34,3289.42,3307.02
3308.05,3328.79,3298.58,3328.79
3325.35,3330.02,3296.51,3299.13
3306.15,3344.9,3305.81,3340.62
3371.41,3388.11,3370.3,3378.63
3382.33,3396.21,3381.44,3392.97
3398.84,3402.24,3381.04,3396.63
3394.89,3413.27,3389.8,3413.27
3408.94,3428.54,3403.43,3409.17
3414.84,3436.6,3411.59,3436.58
3429.53,3447.1,3426.67,3438.79
3439.72,3468.67,3439.72,3462.61
3455.68,3475.48,3452.31,3471.62
3473.16,3485.95,3462.24,3465.24
3483.41,3499.2,3473.04,3498.97
3490.47,3509.41,3488.13,3496.43
3495.46,3512.15,3486.88,3502.12
3503.48,3532.04,3446.97,3463.3
3426.07,3467.13,3422.51,3459.42
3438.28,3459.47,3429.31,3459.14
3497.9,3514.8,3475.39,3488.89
3471.67,3479.53,3450.4,3467.51
3473.21,3503.82,3473.04,3491.3
3478.22,3500.67,3455.84,3455.91
3460.76,3465.84,3419.39,3465.37
3467.02,3482.75,3430.02,3445.26
3432.85,3446.16,3397.91,3401.48
3404.41,3424.05,3378.24,3424.05
3437.84,3471.73,3429.43,3469.22
3475.68,3484.81,3465.54,3473.77
3436.62,3466.57,3426.57,3436.95
3458.14,3459.18,3395.91,3400.43
3398.54,3451.03,3387.61,3445.36
3442.31,3448.4,3419.32,3423.55
3449.97,3468.56,3436.34,3452.13
3456.29,3488.31,3456.09,3482.18
3483.59,3485.45,3443.2,3443.2
3405.14,3412.94,3355.93,3364.64
3367.81,3377.3,3326.86,3357.25
3326.38,3344.66,3294.95,3320.76
3350.59,3358.31,3327.69,3347.89
3375.7,3383.7,3365.48,3376.22
3395.79,3412.79,3395.41,3401.86
3389.3,3422.2,3382.75,3403.25
3430.48,3454.43,3430.31,3434.49
3430.69,3453.29,3415.23,3433.4
3420.27,3455.42,3417.88,3443.67
3468.48,3479.46,3441.78,3479.38
3493.81,3495.51,3475.39,3484.83
3501.25,3508.81,3484.79,3504.26
3502.11,3522.99,3502,3520.76
3557.79,3579.29,3552.53,3578.3
3579.58,3600.08,3576.57,3600.08
3601.09,3609.59,3591.54,3607.49
3611,3611.35,3589.65,3598.5
3608.13,3615.79,3600.69,3610
3610.03,3624.54,3607.09,3611.28
3581.9,3589.05,3578.57,3587.61
3599.87,3601.92,3587.46,3600.39
3606.7,3606.7,3576.96,3579.27
3605.26,3606.28,3573.53,3579.6
3589.46,3606.19,3579.2,3605.19
3584.85,3613.33,3581.26,3613.16
3604.29,3618.86,3592.8,3599.14
3612.36,3629.12,3606.33,3616.47
3627.66,3649.35,3624.77,3626.37
3654.18,3678.5,3653.74,3675.74
3671.11,3689.59,3663.88,3689.59
3682.72,3694.19,3681.34,3692.95
3685.39,3690.31,3654.68,3665.77
3658.48,3663.2,3633.59,3654.01
3672.33,3675.71,3649.67,3669.12
3664.27,3677.83,3649.69,3660.11
3645.78,3673.51,3645.39,3669.95
3675.37,3691.06,3648.82,3684.44
3683.97,3686.55,3668.74,3669.27
3625.36,3626.77,3600.96,3606.12
3603.78,3621.46,3598.65,3602.78
3601.88,3623.48,3589.03,3589.09
3596.77,3625.26,3593.14,3613.59
3603.68,3630.23,3589.02,3599.79
3614.14,3639.21,3613.93,3638.71
3659.21,3660.66,3643.86,3657.79
3661.8,3684.22,3652.26,3657.57
3616.06,3629.95,3573.57,3578.52
3579.11,3607.36,3578.8,3593.35
3587.07,3635.84,3587.07,3620.3
3621.59,3621.78,3581.05,3589.87
3622.64,3637.06,3593.62,3612.61
3619.05,3651.78,3612.22,3649.04
3652.44,3665.01,3651.17,3658.78
3672.82,3677.07,3618.77,3660.01
3675.12,3708.42,3675.12,3706.18
3724.67,3729.38,3716.44,3729.02
3710.79,3726.59,3704.22,3725.01
3724.53,3731.84,3713.08,3715.97
3723.27,3724.73,3701.88,3722.18
3755.04,3756.24,3712.48,3717.85
3725.05,3747.08,3724.27,3745.7
3751.29,3790.61,3737.69,3783.64
3794.7,3798.16,3781.59,3789.38
3796.27,3798.76,3774.12,3774.73
3786.84,3787.14,3745.54,3765.29
3771.6,3789.85,3753.04,3768.25
3772.59,3782.92,3754.94,3761.1
3774.95,3795.72,3772.8,3787.43
3767.89,3788.35,3762.67,3781.59
3737.6,3780.97,3734.74,3771.48
3774.18,3817.98,3774.18,3817.98
3792.76,3819.28,3788.47,3815.02
3809.9,3816.96,3753.17,3774.34
3774.72,3812.86,3773.4,3807.75
3776.64,3800.08,3769.75,3770.38
3772.22,3772.49,3694.14,3694.83
3701.62,3702.15,3650.03,3677.78
3721.58,3764.72,3721.11,3760.75
3753.22,3794.37,3751.38,3791.87
3767.49,3816.41,3766.28,3815.28
3810.72,3824.44,3789.68,3794.01
3815,3840.48,3814.15,3839.43
3822.85,3863.49,3821.43,3863.15
3893.36,3914.93,3882.06,3914.28
3922.65,3931.45,3909.91,3920.05
3935.54,3947.67,3904.06,3929.57
3907.3,3911.64,3887.66,3907.07
3911.61,3932.6,3907.54,3928.96
3955.98,3961.1,3927.5,3943.36
3942.56,3947.58,3927.09,3940.13
3954.34,3957.12,3934.94,3952.34
3962.4,3966.71,3919.14,3930.62
3924.34,3945.04,3909.26,3919.71
3932.45,3938.48,3904.2,3922.04
3932.5,3937.46,3919.46,3936.59
3925.14,3947.27,3909.63,3939.86
3952.08,3955.95,3920.91,3931.95
3935.81,3938.28,3855.07,3857.33
3871.24,3919.23,3869.12,3919.23
3913.64,3925.34,3904.72,3919.79
3907.82,3922.28,3902.67,3919.92
3899.38,3965.57,3899.31,3965.57
3956.47,3975.89,3949.01,3972.74
3978.27,3985.97,3969.22,3985.97
3990.06,3994.97,3942.84,3949.07
3945.97,3960.44,3923.47,3931.55
3940.98,3952.08,3911.61,3921.27
3938.11,3970.91,3936.82,3969.16
3977.31,3991.66,3973,3991.65
4004.37,4007.09,3987.16,3994.57
3996.7,4026.99,3989.49,4017.75
4026.92,4045.81,4023.65,4044.75
4057.16,4069.7,4055.45,4059.89
4065.66,4068.49,4040.88,4045.26
4038.99,4050.08,4022.12,4037.2
4020.33,4051.74,4004.76,4038
4037.99,4043.71,4025.26,4033.16
4069.86,4069.86,4042.35,4062.52
4073.75,4081.78,4063.49,4068.75
4061.17,4074.01,4056.49,4060.49
4061.67,4065.08,3998.92,4003.81
4004.75,4013.54,3993.57,3998.4
4015.53,4017.45,3992.29,4000.97
4019.37,4043,4019.16,4029.52
4028.88,4034.69,4011.58,4023.68
4024.67,4070.31,3979.59,4070.06
4059.57,4063.69,4045.44,4058.14
4064.73,4111.93,4064.73,4104.74
4136.15,4149.31,4127.72,4148.9
4150.64,4155.62,4147.15,4155.42
4164.21,4169.97,4158.59,4167.18
4173.36,4175.36,4153.64,4156.59
4153.58,4158.73,4142.18,4154.2
4161.51,4177.73,4160.77,4176.59
4160.2,4160.9,4131.79,4143.02
4148.34,4152.96,4124.97,4131.91
4137.03,4139.78,4103.75,4113.68
4128.57,4158.18,4126.48,4153.18
4154.28,4171.75,4145,4165.61
4179.04,4182.74,4142.7,4156.19
4168.93,4174.68,4142.22,4174.66
4167.41,4179.47,4097.99,4113.31
4129.6,4183.84,4125.81,4183.02
4196.53,4218.8,4195.98,4214.88
4209.59,4219.28,4204.16,4218.69
4207.82,4217.24,4187.31,4197.58
4222.98,4227.93,4193.17,4225.76
4234.58,4246.56,4225.52,4243
4224.36,4224.44,4192.28,4218.88
4194.97,4197.93,4128.17,4128.17
4131.95,4136.46,4052.63,4083.61
4067.86,4099.65,4067.83,4097.96
4060.61,4091.26,4044.76,4051.43
4098.81,4135.83,4094.17,4123.12
4068.97,4124.93,4067.61,4103.88
4105.06,4113.55,3989.95,3996.96
4019.44,4044.2,4004.58,4031.52
4015.5,4026.28,3968.19,4011.55
4022.17,4063.92,4022.17,4057.12
4082.14,4126.51,4069.96,4125.86
4125.12,4148.3,4122.61,4148.18
4154.66,4198.52,4153.1,4191.05
4196.85,4212.61,4190.39,4201.29
4171.58,4240.67,4170.47,4240.67
4237,4250.91,4225.75,4244.03
4253.71,4277.33,4243.56,4272.78
4260.74,4274.28,4232.38,4237.95
4241.46,4272.34,4226.75,4267.55
4282.17,4284.85,4261.62,4263.41
4273.32,4311.12,4272.11,4292.97
4298.48,4307.51,4275.8,4287.59
4300.45,4316.82,4278.53,4292.06
4291.47,4322.46,4284.78,4318.93
4323.52,4342.59,4275.61,4308.12
